Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehiclePrice,DriverRating,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,FraudFound
Dec,5,Wednesday,Honda,1,Tuesday,Jan,1,1,Single,21,1,Other,5,1,1,2,0,0,1,2,3,1,0
Jan,3,Wednesday,Honda,1,Monday,Jan,4,0,Single,34,1,Sport - Collision,5,4,1,4,1,0,1,1,1,1,0
Oct,5,Friday,Honda,1,Thursday,Nov,2,0,Married,47,1,Sport - Collision,5,3,2,5,0,0,1,1,1,1,0
Jun,2,Saturday,Toyota,0,Friday,Jul,1,0,Married,65,0,Sedan - Liability,2,2,2,6,1,0,4,1,1,1,0
Jan,5,Monday,Honda,1,Tuesday,Feb,2,1,Single,27,0,Sport - Collision,5,1,1,3,0,0,1,1,1,1,0
Oct,4,Friday,Honda,1,Wednesday,Nov,1,0,Single,20,0,Sport - Collision,5,3,1,3,0,0,3,1,1,1,0
Feb,1,Saturday,Honda,1,Monday,Feb,3,0,Married,36,0,Sport - Collision,5,1,2,5,0,0,2,1,1,1,0
Nov,1,Friday,Honda,1,Tuesday,Mar,4,0,Single,16,1,Sport - Collision,5,4,2,1,0,0,1,1,1,1,0
Dec,4,Saturday,Honda,1,Wednesday,Dec,5,0,Single,30,1,Sport - Collision,5,4,1,4,0,0,3,1,1,1,0
Apr,3,Tuesday,Other,1,Wednesday,Apr,3,0,Married,42,1,Utility - All Perils,5,1,3,6,0,0,3,1,1,1,0
Mar,2,Sunday,Mazda,1,Wednesday,Mar,3,0,Single,71,1,Sedan - All Perils,5,3,1,6,0,0,1,1,1,1,0
Mar,5,Monday,Honda,1,Monday,Mar,5,0,Married,52,1,Sedan - Liability,2,1,3,6,0,0,1,1,1,1,0
Jan,3,Friday,Other,1,Friday,Jan,3,0,Married,28,1,Sedan - Liability,5,1,2,5,0,0,1,1,1,1,0
Jan,5,Friday,Honda,0,Wednesday,Feb,1,0,Single,16,0,Sedan - Collision,5,3,1,1,0,0,1,1,1,1,0
Jan,5,Monday,Other,1,Thursday,Feb,1,0,Married,61,1,Sedan - Liability,5,1,1,6,0,0,1,1,1,1,0
Aug,4,Tuesday,Other,1,Monday,Aug,5,0,Single,38,1,Sedan - Liability,5,1,1,4,0,0,1,1,1,1,0
Apr,4,Thursday,Other,1,Wednesday,May,1,0,Married,41,1,Sedan - All Perils,5,4,1,5,0,0,1,1,1,1,0
Jul,5,Sunday,Chevrolet,1,Wednesday,Aug,1,1,Married,28,0,Sedan - Collision,2,1,1,5,0,0,2,1,1,1,0
May,4,Thursday,Pontiac,1,Monday,May,5,0,Single,32,1,Sedan - Liability,2,1,2,5,0,0,1,1,1,1,0
Apr,4,Monday,Honda,1,Tuesday,May,1,0,Married,30,0,Sedan - Liability,5,2,3,4,0,0,4,1,1,1,0
Apr,2,Friday,Mazda,1,Tuesday,May,1,0,Married,40,1,Sedan - Liability,2,1,2,6,0,0,4,1,1,1,0
Jan,2,Saturday,Chevrolet,1,Monday,Jan,2,0,Married,47,1,Sedan - Collision,2,2,2,6,0,0,1,4,2,1,0
Aug,3,Sunday,Mazda,1,Thursday,Aug,5,0,Married,63,1,Sedan - Liability,2,3,2,6,0,0,2,1,1,1,0
Jun,3,Saturday,Pontiac,1,Tuesday,Jun,3,0,Single,31,0,Sedan - Liability,3,3,1,4,0,0,3,1,1,1,0
Sep,3,Friday,Mazda,1,Friday,Sep,3,0,Married,45,1,Sedan - All Perils,5,3,4,6,1,0,1,1,1,1,0
Mar,3,Monday,Pontiac,1,Tuesday,Apr,1,0,Married,60,1,Sedan - Liability,2,4,4,6,0,0,1,1,1,1,0
Mar,3,Thursday,Honda,1,Thursday,Jun,4,0,Married,21,1,Sedan - Collision,3,2,4,3,0,0,4,1,1,1,0
May,3,Sunday,Other,1,Friday,May,4,0,Married,42,1,Sedan - All Perils,3,3,3,5,0,0,2,1,1,1,0
Jul,1,Saturday,Honda,1,Tuesday,Sep,4,0,Single,16,1,Sedan - All Perils,5,1,1,1,0,0,1,1,1,1,1
May,3,Monday,Mazda,1,Wednesday,May,4,1,Married,39,1,Sedan - Collision,2,3,1,5,0,0,1,1,1,1,0
Mar,2,Friday,Other,1,Saturday,Mar,2,0,Married,47,1,Sedan - Collision,3,1,3,6,0,1,1,1,1,1,0
Mar,1,Sunday,Honda,1,Tuesday,Mar,2,0,Single,16,1,Sedan - Collision,5,1,2,1,0,0,1,1,1,1,0
Mar,2,Wednesday,Chevrolet,1,Wednesday,Mar,2,0,Single,42,1,Sedan - Collision,2,3,4,5,0,0,3,1,1,1,0
Jan,4,Monday,Honda,1,Tuesday,Jan,4,0,Single,30,0,Sedan - Collision,2,4,1,4,0,0,2,1,1,1,0
